ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06md2*,ELC2,Veeti Louhivaara,Louhivaara,NJD,G,FA,19,,"525,000",0,0,12%,,"06md2,ELC2"
*06bdx*,ELC3,Tanner Ludtke,Ludtke,UTA,"C,LW",FA,20,,"525,000",0,0,12%,,"06bdx,ELC3"
*06qqc*,ELC1,Roman Luttsev,Luttsev,TBL,C,FA,19,,"525,000",0,0,8%,,"06qqc,ELC1"
*06bdy*,ELC3,Angus MacDonell,MacDonell,DAL,C,FA,20,,"525,000",0,0,10%,,"06bdy,ELC3"
*06bai*,ELC3,Dylan MacKinnon,MacKinnon,NSH,D,FA,20,,"525,000",0,0,8%,,"06bai,ELC3"
*06cmr*,ELC3,Ryan MacPherson,MacPherson,PHI,C,FA,20,,"525,000",0,0,0%,,"06cmr,ELC3"
*06tz5*,ELC1,Ilyas Magomedsultanov,Magomedsultanov,SJS,D,FA,18,,"525,000",0,0,8%,,"06tz5,ELC1"
*06b7d*,ELC3,Matthew Mania,Mania,LAK,D,FA,20,,"525,000",0,0,15%,,"06b7d,ELC3"
*06c4b*,ELC3,Matteo Mann,Mann,PHI,D,FA,20,,"525,000",0,0,5%,,"06c4b,ELC3"
*06mbg*,ELC2,Luca Marrelli,Marrelli,CBJ,D,FA,19,,"525,000",0,0,38%,,"06mbg,ELC2"
*06rus*,ELC1,Brady Martin,Martin,NSH,C,FA,18,,"525,000",0,0,40%,,"06rus,ELC1"
*06uwf*,ELC1,Owen Martin,Martin,WPG,RW,FA,18,,"525,000",0,0,5%,,"06uwf,ELC1"
*06hj9*,ELC1,Porter Martone,Martone,PHI,RW,FA,18,,"525,000",0,0,45%,,"06hj9,ELC1"
*06mcx*,ELC2,Eriks Mateiko,Mateiko,WSH,"LW,RW",FA,19,,"525,000",0,0,18%,,"06mcx,ELC2"
*06mr3*,ELC2,Nathan Mayes,Mayes,TOR,D,FA,19,,"525,000",0,0,2%,,"06mr3,ELC2"
*06c53*,ELC3,Matthew Mayich,Mayich,STL,D,FA,20,,"525,000",0,0,5%,,"06c53,ELC3"
*06bur*,ELC3,Gavin McCarthy,McCarthy,BUF,D,FA,20,,"525,000",0,0,8%,,"06bur,ELC3"
*06mr4*,ELC2,Sam McCue,McCue,TOR,LW,FA,19,,"525,000",0,0,2%,,"06mr4,ELC2"
*06mr0*,ELC2,Will McIsaac,McIsaac,STL,D,FA,19,,"525,000",0,0,8%,,"06mr0,ELC2"
*06pyt*,ELC1,Cole McKinney,McKinney,SJS,C,FA,18,,"525,000",0,0,30%,,"06pyt,ELC1"
*06mj7*,ELC1,Brendan McMorrow,McMorrow,LAK,LW,FA,19,,"525,000",0,0,0%,,"06mj7,ELC1"
*06imm*,ELC1,Roger McQueen,McQueen,ANA,RW,FA,18,,"525,000",0,0,40%,,"06imm,ELC1"
*06rmr*,ELC1,Alexei Medvedev,Medvedev,VAN,G,FA,17,,"525,000",0,0,29%,,"06rmr,ELC1"
*06tak*,ELC1,Samuel Meloche,Meloche,BUF,G,FA,17,,"525,000",0,0,9%,,"06tak,ELC1"
*067xe*,ELC2,Harrison Meneghin,Meneghin,TBL,G,FA,20,,"525,000",0,0,15%,,"067xe,ELC2"
*06mqx*,ELC2,Ben Merrill,Merrill,MTL,C,FA,19,,"525,000",0,0,2%,,"06mqx,ELC2"
*06h8g*,ELC2,Henry Mews,Mews,CGY,D,FA,19,,"525,000",0,0,42%,,"06h8g,ELC2"
*061ib*,ELC3,Ethan Miedema,Miedema,BUF,LW,FA,20,,"525,000",0,0,8%,,"061ib,ELC3"
*06rmo*,ELC1,Marco Mignosa,Mignosa,TBL,RW,FA,20,,"525,000",0,0,0%,,"06rmo,ELC1"
*06mj1*,ELC2,Landon Miller,Miller,DET,G,FA,19,,"525,000",0,0,9%,,"06mj1,ELC2"
*068z0*,ELC3,Quentin Miller,Miller,MTL,G,FA,20,,"525,000",0,0,9%,,"068z0,ELC3"
*06mp3*,ELC2,Jakub Milota,Milota,NSH,G,FA,19,,"525,000",0,0,9%,,"06mp3,ELC2"
*06baj*,ELC3,Aram Minnetian,Minnetian,DAL,D,FA,20,,"525,000",0,0,25%,,"06baj,ELC3"
*061im*,ELC1,Michael Misa,Misa,SJS,C,FA,18,,"525,000",0,0,52%,,"061im,ELC1"
*06be5*,ELC3,Martin Misiak,Misiak,CHI,"C,RW",FA,20,,"525,000",0,0,28%,,"06be5,ELC3"
*06kav*,ELC2,Nate Misskey,Misskey,SJS,D,FA,20,,"525,000",0,0,15%,,"06kav,ELC2"
*06sq4*,ELC1,Mason Moe,Moe,NJD,LW,FA,18,,"525,000",0,0,12%,,"06sq4,ELC1"
*06mr9*,ELC2,Austin Moline,Moline,PHI,D,FA,19,,"525,000",0,0,0%,,"06mr9,ELC2"
*06mhd*,ELC2,Blake Montgomery,Montgomery,OTT,LW,FA,20,,"525,000",0,0,15%,,"06mhd,ELC2"
*06hrl*,ELC1,L.J. Mooney,Mooney,MTL,C,FA,18,,"525,000",0,0,26%,,"06hrl,ELC1"
*06mcq*,ELC2,Javon Moore,Moore,OTT,LW,FA,19,,"525,000",0,0,15%,,"06mcq,ELC2"
*06hj8*,ELC1,Will Moore,Moore,BOS,C,FA,18,,"525,000",0,0,35%,,"06hj8,ELC1"
*06mct*,ELC2,Jonathan Morello,Morello,BOS,LW,FA,18,,"525,000",0,0,8%,,"06mct,ELC2"
*06sqa*,ELC1,Shamar Moses,Moses,FLA,RW,FA,18,,"525,000",0,0,13%,,"06sqa,ELC1"
*06c9i*,ELC2,Pavel Moysevich,Moysevich,VGK,G,FA,20,,"525,000",0,0,32%,,"06c9i,ELC2"
*06mbj*,ELC2,Tomas Mrsic,Mrsic,STL,C,FA,19,,"525,000",0,0,28%,,"06mbj,ELC2"
*06pyp*,ELC1,Radim Mrtka,Mrtka,BUF,D,FA,18,,"525,000",0,0,40%,,"06pyp,ELC1"
*06icv*,ELC2,Leon Muggli,Muggli,WSH,D,FA,18,,"525,000",0,0,25%,,"06icv,ELC2"
*06mis*,ELC2,Niilopekka Muhonen,Muhonen,DAL,D,FA,19,,"525,000",0,0,8%,,"06mis,ELC2"
*06ay1*,ELC3,Timur Mukhanov,Mukhanov,CAR,"C,LW",FA,20,,"525,000",0,0,15%,,"06ay1,ELC3"
*06sna*,ELC1,Jack Murtagh,Murtagh,PHI,C,FA,17,,"525,000",0,0,32%,,"06sna,ELC1"
*06bnh*,ELC3,Carsen Musser,Musser,UTA,G,FA,20,,"525,000",0,0,6%,,"06bnh,ELC3"
*060nx*,ELC4,Tyler Muszelik,Muszelik,FLA,G,FA,20,,"525,000",0,0,9%,,"060nx,ELC4"
*06tb0*,ELC1,Teddy Mutryn,Mutryn,SJS,C,FA,18,,"525,000",0,0,10%,,"06tb0,ELC1"
*06bak*,ELC3,Sawyer Mynio,Mynio,VAN,D,FA,20,,"525,000",0,0,15%,,"06bak,ELC3"
*06sq5*,ELC1,Harry Nansi,Nansi,TOR,C,FA,17,,"525,000",0,0,10%,,"06sq5,ELC1"
*06c1s*,ELC3,Zach Nehring,Nehring,WPG,RW,FA,20,,"525,000",0,0,10%,,"06c1s,ELC3"
*06axv*,ELC3,Danny Nelson,Nelson,NYI,C,FA,19,,"525,000",0,0,38%,,"06axv,ELC3"
*06snc*,ELC1,Jack Nesbitt,Nesbitt,PHI,C,FA,18,,"525,000",0,0,35%,,"06snc,ELC1"
*06sqp*,ELC1,Vaclav Nestrasil,Nestrasil,CHI,RW,FA,18,,"525,000",0,0,30%,,"06sqp,ELC1"
*06tax*,ELC1,Elijah Neuenschwander,Neuenschwander,ANA,G,FA,18,,"525,000",0,0,15%,,"06tax,ELC1"
*06mjr*,ELC2,William Nicholl,Nicholl,EDM,C,FA,19,,"525,000",0,0,10%,,"06mjr,ELC2"
*06mgz*,ELC1,Daniel Nieminen,Nieminen,NSH,D,FA,19,,"525,000",0,0,8%,,"06mgz,ELC1"
*06cld*,ELC3,Vladimir Nikitin,Nikitin,OTT,G,FA,20,,"525,000",0,0,3%,,"06cld,ELC3"
*06spw*,ELC1,Eric Nilson,Nilson,ANA,C,FA,18,,"525,000",0,0,30%,,"06spw,ELC1"
*06b7a*,ELC3,Felix Nilsson,Nilsson,NSH,C,FA,20,,"525,000",0,0,32%,,"06b7a,ELC3"
*06tmv*,ELC1,Mateo Nobert,Nobert,VGK,C,FA,17,,"525,000",0,0,12%,,"06tmv,ELC1"
*06bul*,ELC3,Noel Nordh,Nordh,UTA,"LW,RW",FA,20,,"525,000",0,0,15%,,"06bul,ELC3"
*06xv8*,ELC1,Viggo Nordlund,Nordlund,CAR,LW,FA,18,,"525,000",0,0,0%,,"06xv8,ELC1"
*06mqa*,ELC2,Viktor Norringer,Norringer,NSH,LW,FA,18,,"525,000",0,0,8%,,"06mqa,ELC2"
*06tap*,ELC1,Melvin Novotny,Novotny,BUF,LW,FA,18,,"525,000",0,0,10%,,"06tap,ELC1"
*06bnc*,ELC3,Jesse Nurmi,Nurmi,NYI,LW,FA,19,,"525,000",0,0,12%,,"06bnc,ELC3"
*06nkc*,ELC1,Jake O'Brien,O'Brien,SEA,C,FA,18,,"525,000",0,0,42%,,"06nkc,ELC1"
*06mpf*,ELC2,Timofei Obvintsev,Obvintsev,TOR,G,FA,20,,"525,000",0,0,3%,,"06mpf,ELC2"
*06mbl*,ELC2,Luke Osburn,Osburn,BUF,D,FA,18,,"525,000",0,0,18%,,"06mbl,ELC2"
*06c75*,ELC3,Norwin Panocha,Panocha,BUF,D,FA,20,,"525,000",0,0,2%,,"06c75,ELC3"
*06mgr*,ELC1,Aidan Park,Park,EDM,RW,FA,19,,"525,000",0,0,10%,,"06mgr,ELC1"
*06c6v*,ELC3,Kalem Parker,Parker,MIN,D,FA,20,,"525,000",0,0,5%,,"06c6v,ELC3"
*06tz8*,ELC1,Evan Passmore,Passmore,NYR,D,FA,18,,"525,000",0,0,10%,,"06tz8,ELC1"
*06m7l*,ELC2,Riley Patterson,Patterson,VAN,C,FA,19,,"525,000",0,0,15%,,"06m7l,ELC2"
*06sq8*,ELC1,Hayden Paupanekis,Paupanekis,MTL,RW,FA,18,,"525,000",0,0,18%,,"06sq8,ELC1"
*06lo7*,ELC2,Ilya Pautov,Pautov,PHI,RW,FA,19,,"525,000",0,0,10%,,"06lo7,ELC2"
*06uvd*,ELC1,Brady Peddle,Peddle,PIT,D,FA,18,,"525,000",0,0,5%,,"06uvd,ELC1"
*064g6*,ELC3,Tyler Peddle,Peddle,CBJ,"C,LW",FA,20,,"525,000",0,0,2%,,"064g6,ELC3"
*06bnb*,ELC3,Juraj Pekarcik,Pekarcik,STL,"C,LW",FA,19,,"525,000",0,0,30%,,"06bnb,ELC3"
*06ckc*,ELC3,Chris Pelosi,Pelosi,BOS,C,FA,20,,"525,000",0,0,8%,,"06ckc,ELC3"
*06cl3*,ELC3,Janne Peltonen,Peltonen,CHI,D,FA,20,,"525,000",0,0,0%,,"06cl3,ELC3"
*060n9*,ELC4,Servac Petrovsky,Petrovsky,MIN,C,FA,20,,"525,000",0,0,18%,,"060n9,ELC4"
*06bdw*,ELC3,Alex Pharand,Pharand,CHI,"C,RW",FA,20,,"525,000",0,0,8%,,"06bdw,ELC3"
*06tmh*,ELC1,Maceo Phillips,Phillips,CGY,D,FA,18,,"525,000",0,0,10%,,"06tmh,ELC1"
*06qfa*,ELC1,Bryce Pickford,Pickford,MTL,D,FA,19,,"525,000",0,0,20%,,"06qfa,ELC1"
*06c44*,ELC3,Emil Pieniniemi,Pieniniemi,PIT,D,FA,20,,"525,000",0,0,28%,,"06c44,ELC3"
*06mcm*,ELC2,Kasper Pikkarainen,Pikkarainen,NJD,RW,FA,18,,"525,000",0,0,12%,,"06mcm,ELC2"
*06b7c*,ELC3,Luca Pinelli,Pinelli,CBJ,C,FA,20,,"525,000",0,0,32%,,"06b7c,ELC3"
*06mgu*,ELC2,Tory Pitner,Pitner,COL,D,FA,19,,"525,000",0,0,8%,,"06mgu,ELC2"
*066pg*,ELC3,Coulson Pitre,Pitre,ANA,RW,FA,20,,"525,000",0,0,20%,,"066pg,ELC3"
*06mr8*,ELC2,Kaden Pitre,Pitre,TBL,C,FA,19,,"525,000",0,0,5%,,"06mr8,ELC2"
*05yn7*,ELC4,Zam Plante,Plante,PIT,C,FA,20,,"525,000",0,0,10%,,"05yn7,ELC4"
*06mr6*,ELC2,Alexander Plesovskikh,Plesovskikh,TOR,LW,FA,18,,"525,000",0,0,2%,,"06mr6,ELC2"
*06uvh*,ELC1,Tomas Poletin,Poletin,NYI,LW,FA,18,,"525,000",0,0,8%,,"06uvh,ELC1"
*06bea*,ELC3,Vojtech Port,Port,ANA,D,FA,19,,"525,000",0,0,5%,,"06bea,ELC3"
*06pyr*,ELC1,Cullen Potter,Potter,CGY,LW,FA,18,,"525,000",0,0,32%,,"06pyr,ELC1"
*06mhh*,ELC2,Noah Powell,Powell,PHI,RW,FA,20,,"525,000",0,0,8%,,"06mhh,ELC2"
*06tam*,ELC1,Michal Pradel,Pradel,DET,G,FA,18,,"525,000",0,0,35%,,"06tam,ELC1"
*06ay0*,ELC3,Caden Price,Price,SEA,D,FA,19,,"525,000",0,0,35%,,"06ay0,ELC3"
*06mhj*,ELC2,Jack Pridham,Pridham,CHI,RW,FA,19,,"525,000",0,0,12%,,"06mhj,ELC2"
*06mcr*,ELC2,Ethan Procyszyn,Procyszyn,ANA,RW,FA,18,,"525,000",0,0,12%,,"06mcr,ELC2"
*06tdq*,ELC1,Daniil Prokhorov,Prokhorov,NYI,RW,FA,18,,"525,000",0,0,20%,,"06tdq,ELC1"
*06maz*,ELC2,Ilya Protas,Protas,WSH,LW,FA,18,,"525,000",0,0,55%,,"06maz,ELC2"
*06mjo*,ELC2,Owen Protz,Protz,MTL,D,FA,19,,"525,000",0,0,12%,,"06mjo,ELC2"
*06spy*,ELC1,Max Psenicka,Psenicka,UTA,D,FA,18,,"525,000",0,0,30%,,"06spy,ELC1"
*06tb1*,ELC1,Nathan Quinn,Quinn,PHI,C,FA,17,,"525,000",0,0,10%,,"06tb1,ELC1"
*06mgv*,ELC2,Colin Ralph,Ralph,STL,D,FA,19,,"525,000",0,0,12%,,"06mgv,ELC2"
*064wl*,ELC3,Scott Ratzlaff,Ratzlaff,BUF,G,FA,19,,"525,000",0,0,24%,,"064wl,ELC3"
*06c42*,ELC1,Benjamin Rautiainen,Rautiainen,TBL,C,FA,20,,"525,000",0,0,10%,,"06c42,ELC1"
*06pww*,ELC1,Joshua Ravensbergen,Ravensbergen,SJS,G,FA,18,,"525,000",0,0,41%,,"06pww,ELC1"
*06taz*,ELC1,Noah Read,Read,ANA,LW,FA,18,,"525,000",0,0,8%,,"06taz,ELC1"
*06mhe*,ELC2,James Reeder,Reeder,LAK,RW,FA,19,,"525,000",0,0,10%,,"06mhe,ELC2"
*06rut*,ELC1,Cameron Reid,Reid,NSH,D,FA,18,,"525,000",0,0,30%,,"06rut,ELC1"
*062lj*,ELC4,Kevin Reidler,Reidler,OTT,G,FA,20,,"525,000",0,0,12%,,"062lj,ELC4"
*06jhe*,ELC1,Cole Reschny,Reschny,CGY,C,FA,18,,"525,000",0,0,38%,,"06jhe,ELC1"
*06uhc*,ELC1,Will Reynolds,Reynolds,SEA,D,FA,17,,"525,000",0,0,5%,,"06uhc,ELC1"
*062lk*,ELC4,Jake Richard,Richard,BUF,RW,FA,20,,"525,000",0,0,5%,,"062lk,ELC4"
*06clh*,ELC3,Yegor Rimashevsky,Rimashevsky,SJS,"LW,RW",FA,20,,"525,000",0,0,10%,,"06clh,ELC3"
*06mho*,ELC1,Petteri Rimpinen,Rimpinen,LAK,G,FA,19,,"525,000",0,0,30%,,"06mho,ELC1"
*06ll4*,ELC2,Colton Roberts,Roberts,SJS,D,FA,19,,"525,000",0,0,12%,,"06ll4,ELC2"
*06m7k*,ELC1,Nolan Roed,Roed,COL,C,FA,19,,"525,000",0,0,0%,,"06m7k,ELC1"
*060jb*,ELC4,Vinzenz Rohrer,Rohrer,MTL,RW,FA,20,,"525,000",0,0,18%,,"060jb,ELC4"
*06cfk*,ELC2,Anthony Romani,Romani,VAN,"C,RW",FA,19,,"525,000",0,0,25%,,"06cfk,ELC2"
*06sqb*,ELC1,Luca Romano,Romano,NYI,C,FA,18,,"525,000",0,0,28%,,"06sqb,ELC1"
*06sqs*,ELC1,Jacob Rombach,Rombach,NSH,D,FA,18,,"525,000",0,0,28%,,"06sqs,ELC1"
*06ckj*,ELC3,Dylan Roobroeck,Roobroeck,NYR,C,FA,20,,"525,000",0,0,12%,,"06ckj,ELC3"
*06uh9*,ELC1,David Rozsival,Rozsival,NJD,LW,FA,18,,"525,000",0,0,8%,,"06uh9,ELC1"
*06xv9*,ELC1,Ryan Rucinski,Rucinski,BUF,RW,FA,18,,"525,000",0,0,0%,,"06xv9,ELC1"
*06md6*,ELC2,Heikki Ruohonen,Ruohonen,PHI,C,FA,19,,"525,000",0,0,15%,,"06md6,ELC2"
*06lop*,ELC1,Ivan Ryabkin,Ryabkin,CAR,C,FA,18,,"525,000",0,0,35%,,"06lop,ELC1"
*06bdl*,ELC3,Alexander Rykov,Rykov,CAR,RW,FA,19,,"525,000",0,0,22%,,"06bdl,ELC3"
*06mjn*,ELC2,Joona Saarelainen,Saarelainen,TBL,C,FA,19,,"525,000",0,0,5%,,"06mjn,ELC2"
*06mba*,ELC2,Kim Saarinen,Saarinen,SEA,G,FA,18,,"525,000",0,0,32%,,"06mba,ELC2"
*05rih*,ELC4,Elias Salomonsson,Salomonsson,WPG,D,FA,20,,"525,000",0,0,38%,,"05rih,ELC4"
*06mqb*,ELC2,William Samuelsson,Samuelsson,DAL,C,FA,19,,"525,000",0,0,0%,,"06mqb,ELC2"
*06mqj*,ELC2,Basile Sansonnens,Sansonnens,VAN,D,FA,18,,"525,000",0,0,5%,,"06mqj,ELC2"
*06mir*,ELC2,Miroslav Satan,Satan,WSH,C,FA,19,,"525,000",0,0,12%,,"06mir,ELC2"
*06lo9*,ELC2,Logan Sawyer,Sawyer,MTL,LW,FA,19,,"525,000",0,0,12%,,"06lo9,ELC2"
*06gk0*,ELC1,Matthew Schaefer,Schaefer,NYI,D,FA,17,,"525,000",0,0,55%,,"06gk0,ELC1"
*06xv6*,ELC1,Maxim Schafer,Schafer,WSH,LW,FA,18,,"525,000",0,0,0%,,"06xv6,ELC1"
*06pys*,ELC1,Cameron Schmidt,Schmidt,DAL,RW,FA,18,,"525,000",0,0,38%,,"06pys,ELC1"
*06uk3*,ELC1,Drew Schock,Schock,ANA,D,FA,18,,"525,000",0,0,8%,,"06uk3,ELC1"
*06tzf*,ELC1,Ashton Schultz,Schultz,BUF,RW,FA,18,,"525,000",0,0,10%,,"06tzf,ELC1"
*06be0*,ELC3,Zachary Schulz,Schulz,NYI,D,FA,20,,"525,000",0,0,8%,,"06be0,ELC3"
*06mqt*,ELC2,Fisher Scott,Scott,DET,D,FA,20,,"525,000",0,0,2%,,"06mqt,ELC2"
*06sqg*,ELC1,Will Sharpe,Sharpe,LAK,D,FA,18,,"525,000",0,0,10%,,"06sqg,ELC1"
*06bdm*,ELC3,Jayson Shaugabay,Shaugabay,TBL,"C,RW",FA,20,,"525,000",0,0,15%,,"06bdm,ELC3"
*06mjj*,ELC2,Roman Shokhrin,Shokhrin,CAR,D,FA,19,,"525,000",0,0,8%,,"06mjj,ELC2"
*06md3*,ELC2,Matvei Shuravin,Shuravin,FLA,D,FA,19,,"525,000",0,0,15%,,"06md3,ELC2"
*06mcg*,ELC2,Petr Sikora,Sikora,WSH,C,FA,19,,"525,000",0,0,10%,,"06mcg,ELC2"
*062q7*,ELC4,Landon Sim,Sim,NJD,"C,RW",FA,20,,"525,000",0,0,8%,,"062q7,ELC4"
*06sq9*,ELC1,Cooper Simpson,Simpson,BOS,LW,FA,18,,"525,000",0,0,15%,,"06sq9,ELC1"
*06mh3*,ELC2,Alexander Siryatsky,Siryatsky,CAR,D,FA,18,,"525,000",0,0,8%,,"06mh3,ELC2"
*06hcx*,ELC2,Will Skahan,Skahan,UTA,D,FA,19,,"525,000",0,0,20%,,"06hcx,ELC2"
*06byc*,ELC3,Hampton Slukynsky,Slukynsky,LAK,G,FA,19,,"525,000",0,0,56%,,"06byc,ELC3"
*06pod*,ELC3,Blake Smith,Smith,TOR,D,FA,20,,"525,000",0,0,5%,,"06pod,ELC3"
*06mj5*,ELC2,Gabe Smith,Smith,UTA,C,FA,18,,"525,000",0,0,10%,,"06mj5,ELC2"
*06nke*,ELC1,Jackson Smith,Smith,CBJ,D,FA,18,,"525,000",0,0,40%,,"06nke,ELC1"
*06buv*,ELC3,Konnor Smith,Smith,ANA,D,FA,20,,"525,000",0,0,8%,,"06buv,ELC3"
*06mb7*,ELC2,Tarin Smith,Smith,ANA,D,FA,19,,"525,000",0,0,25%,,"06mb7,ELC2"
*06mh0*,ELC2,Sebastian Soini,Soini,MIN,D,FA,19,,"525,000",0,0,5%,,"06mh0,ELC2"
*06bds*,ELC3,Carter Sotheran,Sotheran,PHI,D,FA,20,,"525,000",0,0,5%,,"06bds,ELC3"
*06mda*,ELC2,Anthony Spellacy,Spellacy,CHI,C,FA,19,,"525,000",0,0,20%,,"06mda,ELC2"
*064n0*,ELC1,Malcolm Spence,Spence,NYR,LW,FA,18,,"525,000",0,0,35%,,"064n0,ELC1"
*06be8*,ELC3,Cam Squires,Squires,NJD,RW,FA,20,,"525,000",0,0,18%,,"06be8,ELC3"
*06mqp*,ELC2,Hunter St. Martin,St. Martin,FLA,LW,FA,20,,"525,000",0,0,12%,,"06mqp,ELC2"
*06c41*,ELC3,Jakub Stancl,Stancl,STL,"C,LW",FA,20,,"525,000",0,0,20%,,"06c41,ELC3"
*06bni*,ELC3,Hoyt Stanley,Stanley,OTT,D,FA,20,,"525,000",0,0,10%,,"06bni,ELC3"
*06mhl*,ELC2,Noah Steen,Steen,TBL,LW,FA,20,,"525,000",0,0,5%,,"06mhl,ELC2"
*06lur*,ELC2,Teddy Stiga,Stiga,NSH,LW,FA,19,,"525,000",0,0,42%,,"06lur,ELC2"
*06sqc*,ELC1,Theo Stockselius,Stockselius,CGY,LW,FA,17,,"525,000",0,0,28%,,"06sqc,ELC1"
*0637u*,ELC4,Brady Stonehouse,Stonehouse,EDM,RW,FA,20,,"525,000",0,0,10%,,"0637u,ELC4"
*06clp*,ELC3,Melvin Strahl,Strahl,CBJ,G,FA,20,,"525,000",0,0,6%,,"06clp,ELC3"
*06be7*,ELC3,Andrew Strathmann,Strathmann,CBJ,D,FA,20,,"525,000",0,0,20%,,"06be7,ELC3"
*06byf*,ELC3,Maxim Strbak,Strbak,BUF,D,FA,20,,"525,000",0,0,32%,,"06byf,ELC3"
*06pn1*,ELC1,Julius Sumpf,Sumpf,CHI,C,FA,20,,"525,000",0,0,8%,,"06pn1,ELC1"
*06mqn*,ELC2,Albin Sundin,Sundin,EDM,D,FA,20,,"525,000",0,0,0%,,"06mqn,ELC2"
*066sp*,ELC3,Aydar Suniev,Suniev,CGY,LW,FA,20,,"525,000",0.25,0.25,28%,,"066sp,ELC3"
*06bdz*,ELC3,Nikita Susuyev,Susuyev,STL,"C,RW",FA,20,,"525,000",0,0,8%,,"06bdz,ELC3"
*06mji*,ELC2,Joel Svensson,Svensson,CHI,"C,LW",FA,20,,"525,000",0,0,0%,,"06mji,ELC2"
*06c5t*,ELC3,Brandon Svoboda,Svoboda,SJS,C,FA,20,,"525,000",0,0,15%,,"06c5t,ELC3"
*06sq0*,ELC1,Michal Svrcek,Svrcek,DET,LW,FA,18,,"525,000",0,0,23%,,"06sq0,ELC1"
*06lo4*,ELC2,Mac Swanson,Swanson,PIT,LW,FA,19,,"525,000",0,0,20%,,"06lo4,ELC2"
*060on*,ELC4,Adam Sykora,Sykora,NYR,"LW,RW",FA,20,,"525,000",0,0,32%,,"060on,ELC4"
*06be9*,ELC3,Carey Terrance,Terrance,NYR,C,FA,20,,"525,000",0,0,18%,,"06be9,ELC3"
*06ckz*,ELC3,Melker Thelin,Thelin,UTA,G,FA,20,,"525,000",0,0,12%,,"06ckz,ELC3"
*06ckb*,ELC3,Patrick Thomas,Thomas,WSH,C,FA,20,,"525,000",0,0,12%,,"06ckb,ELC3"
*06mj0*,ELC2,Tyler Thorpe,Thorpe,MTL,RW,FA,19,,"525,000",0,0,18%,,"06mj0,ELC2"
*06mh1*,ELC2,Herman Traff,Traff,ANA,"LW,RW",FA,19,,"525,000",0,0,15%,,"06mh1,ELC2"
*06pyj*,ELC1,Charlie Trethewey,Trethewey,PIT,D,FA,17,,"525,000",0,0,25%,,"06pyj,ELC1"
*05ym4*,ELC4,Gleb Trikozov,Trikozov,CAR,"C,LW,RW",FA,20,,"525,000",0,0,25%,,"05ym4,ELC4"
*06md9*,ELC2,Darels Uljanskis,Uljanskis,ANA,D,FA,18,,"525,000",0,0,8%,,"06md9,ELC2"
*06c1v*,ELC3,Tuomas Uronen,Uronen,VGK,RW,FA,20,,"525,000",0,0,18%,,"06c1v,ELC3"
*06luu*,ELC2,Joona Vaisanen,Vaisanen,PIT,D,FA,20,,"525,000",0,0,10%,,"06luu,ELC2"
*06hcu*,ELC2,Veeti Vaisanen,Vaisanen,UTA,D,FA,19,,"525,000",0,0,15%,,"06hcu,ELC2"
*06mjf*,ELC2,Lucas Van Vliet,Van Vliet,VGK,RW,FA,19,,"525,000",0,0,10%,,"06mjf,ELC2"
*06pz0*,ELC1,Shane Vansaghi,Vansaghi,PHI,RW,FA,18,,"525,000",0,0,30%,,"06pz0,ELC1"
*06unf*,ELC1,Malte Vass,Vass,CBJ,D,FA,18,,"525,000",0,0,10%,,"06unf,ELC1"
*06mqw*,ELC2,Mikus Vecvanags,Vecvanags,MTL,G,FA,19,,"525,000",0,0,6%,,"06mqw,ELC2"
*06c51*,ELC3,Visa Vedenpaa,Vedenpaa,SEA,G,FA,20,,"525,000",0,0,0%,,"06c51,ELC3"
*06lo5*,ELC2,Xavier Veilleux,Veilleux,NYI,D,FA,19,,"525,000",0,0,10%,,"06lo5,ELC2"
*06mce*,ELC2,Nathan Villeneuve,Villeneuve,SEA,C,FA,19,,"525,000",0,0,22%,,"06mce,ELC2"
*06tay*,ELC1,Luke Vlooswyk,Vlooswyk,PHI,D,FA,18,,"525,000",0,0,10%,,"06tay,ELC1"
*06c91*,ELC3,Yevgeni Volokhin,Volokhin,MTL,G,FA,20,,"525,000",0,0,24%,,"06c91,ELC3"
*06l4n*,ELC2,Oskar Vuollet,Vuollet,CAR,"C,LW",FA,19,,"525,000",0,0,12%,,"06l4n,ELC2"
*06mqf*,ELC2,Eerik Wallenius,Wallenius,OTT,D,FA,19,,"525,000",0,0,0%,,"06mqf,ELC2"
*06md8*,ELC2,Kieron Walton,Walton,WPG,"C,LW",FA,19,,"525,000",0,0,32%,,"06md8,ELC2"
*06sqo*,ELC1,Simon Wang,Wang,SJS,D,FA,17,,"525,000",0,0,30%,,"06sqo,ELC1"
*060je*,ELC4,Noah Warren,Warren,ANA,D,FA,20,,"525,000",0,0,28%,,"060je,ELC4"
*06cdo*,ELC1,Alexander Weiermair,Weiermair,VGK,C,FA,20,,"525,000",0,0,0%,,"06cdo,ELC1"
*06be6*,ELC3,Saige Weinstein,Weinstein,COL,D,FA,20,,"525,000",0,0,5%,,"06be6,ELC3"
*06sqj*,ELC1,Mason West,West,CHI,RW,FA,17,,"525,000",0,0,30%,,"06sqj,ELC1"
*06tzg*,ELC1,Max Westergard,Westergard,PHI,LW,FA,17,,"525,000",0,0,13%,,"06tzg,ELC1"
*06mcj*,ELC2,Carson Wetsch,Wetsch,SJS,RW,FA,19,,"525,000",0,0,15%,,"06mcj,ELC2"
